,Sl.No.,State/UT,Literacy %,Unemployment,Sex Ratio,Greed,Loath,Love,Year,Region,Urbanization,NSDP per capita,Population Density,Homeless prop,Alcohol %,Below poverty line,Total Murders
97,26,Mizoram,91.0,7.0,1020.44293,9.67741935483871,41.935483870967744,29.032258064516128,2018.0,NE,0.5404721753794266,100.35581787521079,0.05625919074047721,0.1357504215851602,30.855733557393773,2.225262,80.64516129032258
98,27,Nagaland,82.5,17.5,1069.632495,1.8796992481203008,1.8796992481203008,13.157894736842104,2018.0,NE,0.39485981308411217,32.81214953271028,0.1290789553049038,0.42336448598130844,55.62869158951817,3.7461710000000004,16.917293233082706
99,28,Sikkim,84.0,3.1,1118.589744,0.0,5.090497737556561,1.1312217194570136,2018.0,NE,0.39939485627836613,364.21028744326776,0.09315107102593011,0.41906202723146746,38.96868381328292,0.506354,6.221719457013574
100,29,Tripura,89.5,10.1,1036.923077,12.999071494893222,29.712163416898797,7.428040854224698,2018.0,NE,0.3434038267875126,20.723313192346424,0.37879076864390615,0.8119335347432024,48.91646525672899,5.197101,50.139275766016716
101,30,Uttarakhand,80.5,8.9,1048.023642,34.46115288220551,25.062656641604008,48.87218045112782,2018.0,C,0.33820346320346323,13.544282106782108,0.20731821326402783,1.0663780663780664,49.235443724726295,11.372646999999999,108.39598997493734
102,31,Andaman & Nicobar Islands,87.5,13.5,1122.994652,0.9765625,6.8359375,1.953125,2018.0,S,0.4156171284634761,388.4962216624685,0.0481270457025094,0.23929471032745592,38.08252410239947,0.037224,9.765625
103,32,Chandigarh,83.5,7.9,1188.432836,3.3085194375516958,4.962779156327543,3.3085194375516958,2018.0,N,0.9940323955669225,193.71781756180732,10.289473684210526,3.528559249786871,38.20564423703208,2.2947849999999996,11.579818031430936
107,36,Puducherry,80.0,8.3,930.0518135,1.1312217194570136,4.524886877828054,0.0,2018.0,S,0.6953020134228188,104.33959731543624,3.1106471816283925,1.0671140939597314,37.670909511753976,1.2114449999999999,5.656108597285067
108,1,Andhra Pradesh,70.0,4.7,1001.06956,271.49321266968326,141.40271493212668,22.058823529411764,2019.0,S,0.34429045928301455,2.1110029397167183,0.32144960973933534,1.1690528003665102,46.40358111089352,46.603567999999996,434.9547511312217
109,2,Assam,79.0,7.9,1038.27073,774.1935483870968,1603.225806451613,151.61290322580646,2019.0,NE,0.1514545665275846,1.7825394065832174,0.43999082077564444,0.374333565136764,48.41665507653147,99.861653,2529.032258064516
110,3,Bihar,68.5,5.3,1084.605675,317.6691729323308,783.8345864661653,205.51378446115288,2019.0,E,0.12005739928167951,0.24716528836503288,1.2803224196340388,0.3781053260229431,40.75721679832806,351.23518,1307.017543859649
111,4,Chattisgarh,75.0,3.3,1006.654651,312.4419684308264,49.21077065923863,22.74837511606314,2019.0,C,0.2602943208511814,2.6512712449910185,0.2141266800304754,0.8364653862097554,36.147844410772,102.16577,384.40111420612817
112,5,Gujarat,79.0,2.0,1100.972601,157.1546732837055,418.5277088502895,86.02150537634408,2019.0,W,0.470289294215576,2.3958409392934854,0.3493296739174795,2.107364516553003,20.80665770895505,100.8377,661.7038875103391
113,6,Haryana,77.0,6.5,1128.792342,464.84375,391.6015625,76.171875,2019.0,N,0.400809436507662,5.901829879968176,0.6538722518773183,1.7942855166211213,31.589702170490053,28.306572,932.6171875
114,7,Jharkhand,71.5,4.2,1050.453977,117.0814479638009,639.7058823529412,65.61085972850678,2019.0,E,0.25584663520178186,1.4757914832688126,0.473116391098176,0.6202206077318767,39.35974439215614,122.02269,822.3981900452488
115,8,Karnataka,77.5,4.2,1029.380161,341.6289592760181,262.4434389140271,37.89592760180995,2019.0,S,0.42774155484622484,2.3612544060027534,0.3446616368859853,1.16083990136605,33.125794588813854,127.94187,641.9683257918552
116,9,Kerala,94.0,10.0,923.564097,48.282265552460544,92.85051067780871,0.9285051067780872,2019.0,S,0.6784741144414169,4.199335831062671,0.9065692303733628,0.33642711171662126,22.55626703028446,23.888278,142.06128133704735
117,10,Madhya Pradesh,73.5,3.0,1067.127148,665.8395368072787,521.091811414392,100.90984284532672,2019.0,C,0.28615889406258294,0.7292335158869937,0.26893542474330484,1.7664479239547395,40.63213949662666,229.98595,1287.8411910669975
118,11,Maharashtra,83.0,3.2,1082.313248,2841.935483870968,2483.870967741936,477.4193548387097,2019.0,W,0.47598498603636247,1.1578908800755583,0.3991349081774251,1.7172261620759004,33.8219542576718,195.43505,5803.225806451614
119,12,Odisha,78.0,6.3,1014.842218,583.0078125,411.1328125,222.65625,2019.0,E,0.18212587103196548,1.6914500608339786,0.29032092327255676,0.7534785975002766,43.28895033725166,136.91922,1216.796875
120,13,Punjab,77.0,7.4,1109.041057,291.015625,204.1015625,90.8203125,2019.0,N,0.4058801960065336,3.9496983232774427,0.5956673682538421,1.5571852395079837,46.31374379109585,22.894461,585.9375
121,14,Rajasthan,70.5,4.5,1061.376334,3496.7741935483878,900.0,483.8709677419355,2019.0,N,0.26129065406155266,0.9844705338334275,0.22747845803663522,2.3319118327082156,26.21909777557386,100.88246000000001,4880.645161290324
122,15,Tamil Nadu,80.5,5.3,998.9992099,403.28054298642536,457.579185520362,19.79638009049774,2019.0,S,0.5216463334299491,1.9083159864035204,0.5836011625582432,0.6709836367948143,32.191288767072166,81.77045000000001,880.6561085972851
123,16,Telangana,80.0,7.0,1012.393577,1419.354838709677,716.1290322580645,309.6774193548387,2019.0,S,0.45102554490440744,4.104482407754512,0.3332173416490449,2.2484067905532052,37.0523483108394,31.564134,2445.1612903225805
124,17,Uttar Pradesh,70.5,4.5,1089.493912,802.2284122562675,477.7158774373259,68.70937790157846,2019.0,C,0.23535120066340845,0.18994036381601,0.9409782175587728,1.4517573266051484,33.26797069433145,588.1186,1348.6536675951718
125,18,West Bengal,78.5,4.6,1044.415017,671.9457013574661,149.8868778280543,217.7601809954751,2019.0,E,0.35369778225599163,0.7151787458487986,1.0958738957995313,1.3781474588992504,36.55984104547399,182.68674,1039.5927601809954
126,19,Arunachal Pradesh,71.5,6.7,1061.391542,138.70967741935485,19.35483870967742,29.032258064516128,2019.0,NE,0.24884182660489743,74.83851753805426,0.018043299141420777,1.0814030443414957,50.297418928771364,4.796543,187.0967741935484
127,20,Delhi,84.0,8.7,1142.673797,259.765625,176.7578125,32.2265625,2019.0,N,0.9918139163422183,13.005840071877808,13.509103169251517,2.3498053309374063,38.12034059380209,16.648402,468.75
128,21,Goa,88.5,8.1,1018.276762,5.789909015715467,17.3697270471464,1.6542597187758477,2019.0,W,0.720569210866753,203.08732212160413,0.4176121015667207,1.9734799482535577,43.89081500339842,0.746616,24.813895781637715
129,22,Himachal Pradesh,86.5,3.7,1029.077818,39.0625,21.484375,4.8828125,2019.0,N,0.1022246485601201,19.23624948819435,0.13160778115064753,0.5593012146854102,22.78717074014162,5.535432999999999,65.4296875
